VmId,站名,地址,營業時間,目前狀態,緯度,經度,gx_media_links
00c1b337-2b3d-498b-a055-e04e3740a64c,中油龜山加油站,桃園市龜山區萬壽路二段640號(近萬壽路/自強北路口),24HR,已啟用,25.000117,121.346286,https://cdn.gogoro.com/resources/images/gostations/TW3334301A_01.jpg
012c542e-da03-4207-b979-5fc78cbeb487,全聯新莊龍安店站,新北市新莊區中正路893巷2之1號(近迴龍捷運站3號出口對面),24HR,已啟用,25.020996,121.413096,https://cdn.gogoro.com/resources/images/gostations/TW2425702A_01.jpg
01f7ff69-facd-455a-9e2d-129dc3fdc628,全聯大園和平店站,桃園市大園區和平東路65號(近和平東路與和平二街路口),24HR,已啟用,25.061972,121.200064,https://cdn.gogoro.com/resources/images/gostations/TW3375602A_01.jpg
0223bc68-ec01-4762-8070-b70cfce4199d,西歐新竹中華加油站,新竹市東區中華路二段59號(近新竹高工),24HR,已啟用,24.808151,120.981899,https://cdn.gogoro.com/resources/images/gostations/TW3006001A_01.jpg
029032c7-56a3-4e12-bb15-a973e3a96527,HiLife 台中建興店站,台中市南區復興路二段175-1.175-2號(近四育國中),24HR,已啟用,24.127435,120.666004,https://cdn.gogoro.com/resources/images/gostations/TW4025201A_01.jpg
03105b4b-2ba7-4bb9-9cb5-802a37533107,西歐桃園中山加油站,桃園市桃園區中山路1536號(近衛生福利部桃園醫院),24HR,已啟用,24.975859,121.265980,https://cdn.gogoro.com/resources/images/gostations/TW3305701A_01.jpg
03e1b0fc-4039-424c-ba36-ea37e65356de,Gogoro 高雄中山店站,高雄市新興區中山一路2號(近捷運中央公園站2號出口),24HR,已啟用,22.624185,120.301153,https://cdn.gogoro.com/resources/images/gostations/TW8005401A_01.jpg
0413d153-4be1-485c-8e8e-ddcffa980caf,全聯平鎮環南店站,桃園市平鎮區環南路三段69號(近環南路三段/德育路二段交岔口),24HR,已啟用,24.940262,121.218494,https://cdn.gogoro.com/resources/images/gostations/TW3245502A_01.jpg
04764925-72ba-487a-9e7b-936a8a37bf6e,全聯新竹武陵店站,新竹市北區武陵路157-1號(武陵路/湳中街口),24HR,已啟用,24.820544,120.967768,https://cdn.gogoro.com/resources/images/gostations/TW3005301A_01.jpg
0484b938-a72f-44d2-b8cf-03500189b139,Gogoro 蘆洲三民服務中心站,新北市蘆洲區三民路140號(近國立空中大學),24HR,已啟用,25.087747,121.470714,https://cdn.gogoro.com/resources/images/gostations/TW2476002A_01.jpg
0504b14f-570a-431a-9e37-0ca13adc8d1b,新莊福營休閒廣場站,新北市新莊區富國路176巷(近鴻金寶麻吉影城),24HR,已啟用,25.023881,121.424266,https://cdn.gogoro.com/resources/images/gostations/TW2426501A_01.jpg
0550abf9-0ec4-45f9-975c-87d2f3e19e6b,HiLife 三民鼎金店站,高雄市三民區鼎中路139號(近鼎中路/金山路口),24HR,已啟用,22.661849,120.319036,https://cdn.gogoro.com/resources/images/gostations/TW8079401A_01.jpg
0641f387-20db-4880-8812-7f97bb016a8f,HiLife 彰縣彰花店站,彰化縣花壇鄉中山路一段72號(近中山路一段/中橋街交叉口),24HR,已啟用,24.011307,120.552303,https://cdn.gogoro.com/resources/images/gostations/TW5034301A_01.jpg
068e541f-e6df-4588-ba6f-6d190edc53de,汐止公園站,新北市汐止區大同路二段451號(近新北市消防局汐止分隊),24HR,已啟用,25.067665,121.659205,https://cdn.gogoro.com/resources/images/gostations/TW2217401A_01.jpg
072a4e0c-9bd8-4497-ae61-7f4c059b61cd,中油關西加油站,新竹縣關西鎮中豐路二段50號(近中豐路/豐德街口),24HR,已啟用,24.793601,121.179728,https://cdn.gogoro.com/resources/images/gostations/TW3064101A_01.jpg
07bb7157-7e25-4df8-aa34-13b4c5abef0b,HiLife 北市社子店站,台北市士林區社子街63巷2號(近社子聖彌額爾天主堂),24HR,已啟用,25.087543,121.506870,https://cdn.gogoro.com/resources/images/gostations/TW1117301A_01.jpg
08180132-04a6-4a2b-9878-6ade516d3609,振興公園地下停車場站,台北市北投區天母西路112號(地下一樓機車停車場)(近臺北榮民總醫院),24HR,已啟用,25.118785,121.523261,https://cdn.gogoro.com/resources/images/gostations/TW1128301A_01.jpg
0841da90-2dd1-4e05-80ee-f3ccc8d857f1,中油瑞芳加油站,新北市瑞芳區中山路200號(近瑞芳國小),24HR,已啟用,25.106869,121.801540,https://cdn.gogoro.com/resources/images/gostations/TW2244401A_01.jpg
094c62ab-1c1c-47f5-92b5-2ecc3d7770d8,7-ELEVEN 航發店站,台中市西屯區河南路二段242號(近河南路二段與逢大路路口),24HR,已啟用,24.175841,120.650286,https://cdn.gogoro.com/resources/images/gostations/TW4074403A_01.jpg
0992cf4d-709e-4284-9f2a-bae928161482,中油新坡加油站,桃園市觀音區中山路二段794號(近中山路/環中路口),24HR,已啟用,25.010665,121.139445,https://cdn.gogoro.com/resources/images/gostations/TW3285001A_01.jpg
09956233-a912-4b3a-a905-875e3c2d2099,全聯八德大湳店站,桃園市八德區福國北街79號(福國北街/中路街口),24HR,已啟用,24.961046,121.294729,https://cdn.gogoro.com/resources/images/gostations/TW3346001A_01.jpg
09d2a9d7-e031-4e06-857f-3c316b289bd0,台北捷運劍南路站,台北市中山區敬業二路捷運站2號出口(近捷運站機車轉乘停車場),24HR,已啟用,25.084657,121.554525,https://cdn.gogoro.com/resources/images/gostations/TW1046401A_01.jpg
0a0b650d-fb33-49e9-896f-d02a766d8836,Gogoro 新莊中正服務中心站,新北市新莊區中正路57號(近捷運頭前庄站3號出口),24HR,已啟用,25.039726,121.462035,https://cdn.gogoro.com/resources/images/gostations/TW2424301A_01.jpg
0abdf662-692d-4e54-9014-0ac31d8a96e8,山隆林口加油站,新北市林口區文化二路二段553號(近中華路/文化二路口),24HR,已啟用,25.090349,121.383464,https://cdn.gogoro.com/resources/images/gostations/TW2445801A_01.jpg
0adcb8a1-b1c0-4ef5-bc36-c1ded4470531,三重溪美立體停車場站,新北市三重區自強路4段55號(近新北市三重戶政事務所溪美辦事處),24HR,已啟用,25.078212,121.490151,https://cdn.gogoro.com/resources/images/gostations/TW2415102A_01.jpg
0b285a50-e1d9-41d5-9778-2b4dc6fa9aaf,中油永錡彭厝加油站,新北市樹林區八德街395號(近環河路/八德街交接口),24HR,已啟用,24.971858,121.415660,https://cdn.gogoro.com/resources/images/gostations/TW2385701A_01.jpg
0b2a7bca-3af6-42b4-905d-a1ae36ad9884,中油潮州加油站(建置中),屏東縣潮州鎮延平路217號(近中油快保中心),24HR,建置中(其他狀態100),22.557001,120.540290,https://cdn.gogoro.com/resources/images/gostations/TW9205001A_01.jpg
0b6457a3-1197-4625-9031-0cbe59a73004,家樂福楠梓店站,高雄市楠梓區藍田路288號(近中山高中),24HR,已啟用,22.727367,120.291102,https://cdn.gogoro.com/resources/images/gostations/TW8114801A_01.jpg
0cb4ff83-ed39-4a5c-baac-1be5d494cfb3,MissGreen 美式蔬食餐廳站,台北市大安區敦化南路二段63巷28號(近立人國際國民中小學),24HR,已啟用,25.030856,121.550566,https://cdn.gogoro.com/resources/images/gostations/TW1068201A_01.jpg
0d731bf3-0eed-411d-8af7-369cb204100a,台糖永安加油站,台南市永康區永安路350號(近永安橋),24HR,已啟用,23.049354,120.241017,https://cdn.gogoro.com/resources/images/gostations/TW7108101A_01.jpg
0effd2cc-a8d9-4447-ad78-9442c41e513a,Global Mall 屏東站,屏東縣屏東市仁愛路90號(近屏東女中),24HR,已啟用,22.673036,120.493050,https://cdn.gogoro.com/resources/images/gostations/TW9004101A_01.jpg
0f69395c-98bd-45d0-b2d0-45b711d1f45e,中油建工路加油站,高雄市三民區建工路566號(近中華電信對面),24HR,已啟用,22.650384,120.324435,https://cdn.gogoro.com/resources/images/gostations/TW8077801A_01.jpg
101f5f56-0c7b-4570-b58d-14e14c0c9233,台灣表面黏著科技站,桃園市桃園區桃鶯路437號(近可口可樂世界博物館),24HR,已啟用,24.978821,121.321589,https://cdn.gogoro.com/resources/images/gostations/TW3306801A_01.jpg
10ce873c-b233-4556-9caf-f66ccf0b207d,全聯鳳山國泰店站,高雄市鳳山區國泰路一段2號(近中山公園),24HR,已啟用,22.614691,120.362511,https://cdn.gogoro.com/resources/images/gostations/TW8306101A_01.jpg
11aacec2-81eb-4847-824a-9fbf6bf7c3df,中油中苗加油站,苗栗縣苗栗市中正路442號(近大川醫院),24HR,已啟用,24.560281,120.821368,https://cdn.gogoro.com/resources/images/gostations/TW3604301A_01.jpg
12a512d0-58bc-4e2b-b782-40ff6f490636,Gogoro 台中三民店站,台中市北區三民路三段146號(近中友百貨),24HR,已啟用,24.151344,120.684871,https://cdn.gogoro.com/resources/images/gostations/TW4044501A_01.jpg
13635204-5807-4546-9bf4-e0bf637e0817,中油橋頭加油站,高雄市橋頭區成功北路15號(近橋頭火車站),24HR,已啟用,22.762616,120.308132,https://cdn.gogoro.com/resources/images/gostations/TW8254801A_01.jpg
1367634b-64c4-4bbc-9442-44ea2a6e22b5,八里公兒四站,新北市八里區文昌路與文昌一街交叉口(近十三行博物館),24HR,已啟用,25.156588,121.410908,https://cdn.gogoro.com/resources/images/gostations/TW2494301A_01.jpg
1380f7ee-6430-42d0-9cc8-0a3cb6faa832,車太炫三重重新店站,新北市三重區疏洪東路一段58號(近重新橋下),24HR,已啟用,25.052714,121.484242,https://cdn.gogoro.com/resources/images/gostations/TW2416102A_01.jpg
138da0b6-c768-46f0-8b4c-409c8fbf6536,7-ELEVEN 巨峰店站(建置中),彰化縣彰化市天祥路359號(近天祥路/雲長路交叉路口),24HR,建置中(其他狀態100),24.061405,120.533386,https://cdn.gogoro.com/resources/images/gostations/TW5005802A_01.jpg
13dc897a-39df-44fb-8d07-41ba372f2034,HiLife 新北莊國店站(建置中),新北市新莊區復興路二段31號(近中港三角公園),24HR,建置中,25.044151,121.454167,https://cdn.gogoro.com/resources/images/gostations/TW2425401A_01.jpg
14077d28-eccd-4bc1-a68c-d29075590b15,HiLife 台中中大店站,台中市南區興大路300號(近中興大學),24HR,已啟用,24.119008,120.671731,https://cdn.gogoro.com/resources/images/gostations/TW4024601A_01.jpg
1427cae1-3af2-45c4-a6f5-3a48407afbae,中油南鼓山加油站,高雄市鼓山區捷興二街46號(近捷運西子灣站),24HR,已啟用,22.622077,120.275255,https://cdn.gogoro.com/resources/images/gostations/TW8044101A_01.jpg
1506ed2c-b2b1-4edd-9510-eb725efb2966,南山人壽新竹科技大樓站,新竹市東區公道五路二段176號(近新竹美麗信酒店),24HR,已啟用,24.799743,121.004877,https://cdn.gogoro.com/resources/images/gostations/TW3007001A_01.jpg
1579a4ab-0561-42d3-a21d-94f870c94dcf,Gogoro 彰化中山授權經銷門市站(建置中),彰化縣彰化市中山路二段437號(近台灣電力公司),24HR,建置中,24.076705,120.544137,https://cdn.gogoro.com/resources/images/gostations/TW5006501A_01.jpg
15a01862-a35e-4da2-9ad1-99f0adebf7e1,中油瑞豐加油站,高雄市前鎮區瑞福路2號(近崗山仔公園),24HR,已啟用,22.604741,120.336488,https://cdn.gogoro.com/resources/images/gostations/TW8064301A_01.jpg
15df16a7-cb6e-4824-bc04-acdb96f13725,家樂福內湖店站,台北市內湖區民善街88號(近民善街/新湖二路口),24HR,已啟用,25.060362,121.575183,https://cdn.gogoro.com/resources/images/gostations/TW1149401A_01.jpg
